"","L61","L62","L63","L64","L65","L66","L67","L68","L69","L70","L71","L72","L73","L74","L75","L76","L77","L78","L79","L80","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20"
"S-Adenosylmethionine","804299166.4","540933758.2","1216612848","426162063.8","1624340116","1404423207","779206155.4","356977513.1","690578277.5","892961061.4","553290932","866790969","1039616300","742389870.8","816384595.1","916015096.5","820587233","563436577.6","516904305.3","630127003.7","719841929.1","587365441.2","487265999.4","396765433.4","436451522.4","461358530.6","461950892.5","348537777.3","400666955","344127706.5","469899001.4","414857065.2","403920098.6","314504754.4","368925671.8","351304000.8","327782815.9","222106467.3","282875592","216130599.5"
"Uracil","100588449.9","96034419.41","101530890.9","110145765.6","94173519.02","88450236.19","123651819.9","79865966.02","121494113.1","98116215.6","79605408.96","103603133","79055633.88","62329385.95","82972625.98","78114228.09","85141239.08","127415899.6","90602358.8","71045960.62","86193729.96","64715729.91","91709301.69","76867482.01","80521045.57","84787435.82","76449550.48","109762307.6","73525527.45","131885756.5","84903671.11","65389621.8","70157853.53","79332097.12","76599312.57","89102843.38","138605419.7","71231016.44","78626596","87476436.36"
"Sphinganine","26317996.89","22184431.39","23305009.2","23303777.69","19187862.86","26403673.63","23847754.1","25377874.25","27697488.63","25372535.36","26659414.91","23904633.75","18510519.19","18329317.73","18695139.31","18035342.4","18216338.57","16554889.82","18885964.89","19928576.45","245174647.8","26468469.67","335294319.8","39966418.24","379624810.9","366634401.5","414179204.2","52703459.85","715377605.4","52674481.78","50999589.17","55053368.62","96501649.52","61291823.12","491344003","56307934.15","679823505.6","6099623.546","817901013.5","1046.65582"
"3-Amino-4-hydroxybenzoate","282235037.1","308395680.3","338624212","334080266.9","309172288","352827068.7","77542548.79","329267644.9","287732298.4","339825675.4","368609974.4","369486575.8","400422801.2","394952853.9","410761725.3","387766721.4","416011005","392839733.7","382972945.1","414422845.3","195155341.9","194203428.8","166571488.2","198623528.6","190898630.4","137958547.3","188126045","90859237.08","108466501.4","169555758.3","108260083.6","110153209.8","115467680.4","119685150.7","97233787.05","152715686.8","104554430.2","172567188.8","206829412.1","351448870.2"
"Diacetyl","102390171.7","117239760.6","113474338.1","131017599.8","101873575.6","150451105.2","99562935.65","19824395.71","105327744.6","105929491.5","92668069.65","101233575.6","92149738.24","124181357","95249460.15","25698896.04","81926611.06","95503095.29","85787074.66","80642608.49","40342783.54","33662376.05","26097946.76","20550359.73","27410090.48","24548326.98","23838198.08","23273362.71","18443064.39","39520297.01","23577503.84","15483439.63","14247853.54","14121781.59","15045402.23","20307379.38","32915681.58","22005725.02","8628340.972","12088462.4"
"Acetylcysteine","109521111.1","130782053","126474927.7","121449349.7","115635257.6","108268072.5","124372555.1","121741516","122094584.7","121093889.7","123708635.5","113912330.7","110085911","116016826.8","105438944.1","114259576.5","110351057.7","113546382.7","112465615.2","98780534.57","111734744.6","129143625.5","115230805.4","126155119.8","119904503.4","130022511.3","129028248.8","146327465.2","163197651.7","146040188.7","154550559.6","152365118.3","130113880","152529681","166266667.4","165682984","134116322.5","137713184.5","134570417.5","219782320.7"
"4,5-Dihydroorotic acid","199233725.2","197621066.5","192845948.2","181998193.9","196429435.5","191019646.6","189335971.5","126181218","143483824","182995656.7","111165416.8","141546545.8","126088725.9","123547480.2","122496084.1","164271977.6","120960631.9","100078138.8","113536146.1","144843731.7","203913526.5","391067447.4","4185609470","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","4427460634"
"D-Ribose","298685342.9","294192037.4","241134796.1","338778067.8","255341656.7","171583244.3","463101606.3","417460208.3","390437978.4","328512360.1","444807500.7","285065540.3","220635791.5","261218974","278043528.4","248673936.7","257378032.2","312613976.3","250267399.8","224528708.6","375209185.3","240495827.3","385267724.4","384180676.6","267511812.6","317023654","275121313.6","201803850.4","386915055.7","239674568.9","217975217.1","495553351.9","630845553.6","433646185.1","471787294.1","336387621.8","279745235.2","212520310.6","177265201.1","462739575.8"
"Phenylacetaldehyde","27393814.4","7268421.131","21690059","24858344.06","16073051.21","24102350.17","9299456.64","5355220.636","25208950.73","16453333.76","15141187.2","8569539.865","17839438.73","15817163.67","17363295.99","22923605.4","30249145.36","10429498.8","27841465.83","20558651.3","27947845.41","25114641.64","26251446.15","17980015.98","30781473.62","23647875.52","25718967.3","31187342.94","20403608.07","18641665.2","32401703.76","32977670.33","36463542.25","27975966.44","20854897.97","41406796.09","21691610.96","22604829.02","13989392.98","27272224.99"
"Indican","141125311.7","190546371.6","162646680.2","171916196.9","160073972.9","136418683.5","193063641.9","151322395","148978729.7","165142725.7","184312392","149652799.1","206689876.9","190356098.8","186129816","195723043.1","195771431.5","181664146.2","149821806","188696840.6","197414785.8","227355831.6","183804218.3","230890858.9","247930193.3","228892202.7","254805799.5","248758603.5","235511692.9","267521468.5","265472013.9","222329106.3","207157595.4","222859180.7","247902818.9","204188258.5","239281543.3","205255194.4","155930150.3","107286593.8"
"2-Heptanone","54821474","41997763.89","63443743.25","10688864.92","11013583.69","11756360.36","12047361.29","10461922.85","56541242.01","11524732.39","9614427.744","9732009.835","42945507.5","9262502.378","9047531.569","49429310.44","40376736.99","8019030.756","32859309.74","37075215.78","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582"
"Diaminopimelic acid","57512729.4","36752621.98","45737975.04","50138835.38","30489909.38","18113508.87","61145916.53","19483636.45","23656158.67","30767967.83","30968240.17","23775966.22","18041253.36","22907095.29","25922362.08","22654593.47","38447048.37","45699471.31","14777246.66","13458896.42","66281975.75","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582"
"L-Kynurenine","49965971.8","39466536","46073929.12","53655038.02","45144602.63","27823333.49","55449195.42","66288095.98","61323260.34","33209918.51","51886736.31","43927223.26","43373225.44","52550012.23","74783252.62","68140457.47","47079010.53","53506625.99","46131450.94","37607268.02","78670273.85","40687437.39","63290644.24","58916160.82","66831967.16","57334660.73","26988812.92","56049601.79","46566558.1","36277959.43","80102790.82","53772194.53","68243828.82","69856888.5","64922497.7","111478218.5","40696610.21","46194543.11","45059338.17","234543584.5"
"1-Methyladenosine","1360002.274","928635.3835","1202258.759","1313584.642","1382477.237","5771835.499","737651.2933","4035643.592","2399114.64","1714620.054","5513417.019","2290633.137","9100842.344","1757303.165","7245708.419","10841994.21","5334001.075","4915613.015","11340327.57","7252257.62","10264278.54","4829014.326","5800382.545","7513905.429","6780739.881","1356895.913","5151824.727","6950684.724","6701461.518","7665402.624","10991454.69","6253946.84","2722662.051","5996318.033","8671382.456","1775376.435","8594019.873","2480004.233","3526355.692","1046.65582"
"3-Indoleacetonitrile","113387122.6","94668537.91","71657814.86","79174496.94","64381311.13","72853496.83","53900727.17","63348029.03","69105822.78","78948554.6","74272191.1","74212380.2","38968614.53","73130747.99","83444794.4","39747584.38","49241760.31","103034307.7","117084252.8","52822362.98","50882318.05","100173314.9","144307780","13911287.04","33812044.61","55015535.24","31644803.13","107752875.1","84128131.58","62042245.16","120073916.8","43820420.56","60343516.34","100326486","63496529.52","52896180.03","37951245.47","10733731.05","93105702.25","126235432.7"
"beta-Alanine","153972443.3","180523741","176212783.1","173026398.5","140967855.5","155054350.9","137729761","131813990.4","137827831.1","130262989","112622407.4","91450286.34","92010679.4","108649080.4","89693985.14","84506187.75","71943551.27","125664747.8","79319548.81","62574144.95","82209325.34","79924372.92","88973052.5","79276885.6","126286117.5","80767559.54","96459982.59","119635762.6","89895648.71","85483993.09","86018699.58","88732094.6","79371405.52","124522573.6","140119637.2","167675230.9","90551842.2","79546666.02","64723161.84","81729631.74"
"Porphobilinogen","48246867.56","65988037.09","46733944.24","65842394.67","58544261.34","70955296.84","41623220.41","45704107.85","51261450.49","37461544.11","37314033.66","53598794.18","45327005.95","36450530.75","45005334.7","40327847.49","36868048.2","36382186.39","36107069.69","30308191.66","61350565.74","61435947.75","58655416.21","54141678.29","45779011.83","54509849.49","52981181.95","54717602.91","72460718.84","54370040.36","47692636.56","54124547.94","100028198.7","69766832.04","53491496.71","62707137.77","51747747.57","53058017.09","56130105.38","48089763.79"
"2,3-Butanediol","4151208.759","91325087.62","85602771.59","80780014.72","66331034.91","76404978.81","25275015.41","93780059.43","75708892.08","68245182.11","56060932.71","90392003.28","17030668.81","63691405.66","63557231.08","3287837.995","50482941.15","59512716.83","56274084.1","53119338.35","28239180.94","17329052.53","20367673.72","17792111.54","32859167.24","14896404.05","15046910.73","20883820.52","11133867.05","10996160.08","21527719.37","9803470.212","11404618.71","20784688.7","11395689.69","11157992.11","13903713.4","17899947.31","7389570.836","10165735.41"
"Erucic acid","90931710.55","131549024.7","386380985.3","362139757.8","429273011.8","349093388.1","355663202.3","327017249.5","63163360.5","308263313.7","221683858.3","128708960.9","120922547.1","169388257.2","76886658.05","58573052.99","21477111.91","42252023.58","60984732.81","85182492.58","25200451.44","9889372.352","28128819.46","28614972.14","7439854.033","6203209.366","5480640.641","12309019.35","4586211.395","3724466.953","32731963.57","20310154.38","49415758.7","17966408.18","17752580.16","11186859.58","39043015.28","6452863.792","16281220.33","10384632.54"
"Homovanillic acid","65947213.97","88504858.54","79176341.9","60794749.61","81408881.83","77084660.06","64128316.81","47231758.12","83633058.05","30323036.95","60697082.59","50939824.51","74672157.49","43565264.8","56624952.27","77432028","121205844","59596818.92","46471023.01","84772955.55","58651090.77","41412247.58","38211079.94","38440864.66","34088903.95","32712487.36","34295290.58","30383138.52","33472756.61","31718783.13","31196374.28","29506452.73","29559945.35","27299096.23","28102395.87","29422647.31","24790896.54","11950830.3","28986452.43","17407977.36"
"Pyruvic acid","21805808.53","17481213.03","15367576.25","16538027.84","28224484.44","13064219.14","44334518.92","24588944.17","23724614.87","51386512.18","109294010.2","25760475.68","2319884.872","19490750.71","15797928.22","14721061.18","17014110.45","27338363.06","21090106.57","19718606.78","17548196.16","9570866.305","30564051.94","21437924.62","12944097.3","19594291.58","15292437.68","29355615.09","32548446.09","21000837.38","25017621.59","47341528.64","124514913.8","58937940.66","137510699.2","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582"
"Tyrosol","51952221.65","64633848.6","49756235.01","54364446.49","39047415.42","47176735.71","75493309.23","53767300.87","60935484.52","48974856.69","63611074.37","43142516.35","45657675.28","68218429.62","39514555.95","53333122.74","53577776.55","40804881.75","78546269.86","44994299.71","58857548.41","51661619.14","52347445.14","50318330.36","48139492.09","44213600.6","43268918.01","48371143.99","42987160.14","36574419.04","44799203.26","50225135.21","50617548.17","41840324.9","45550256.93","56837237.86","48240070.54","44824766.93","42952246.11","206420164.4"
"Deoxycytidine","55787391.27","64099449.64","58174853.53","60972175.59","62448604.73","45453324.49","55596655.84","52049231.24","61756512.95","47660411.74","49201030.32","55769422.97","41318714.5","62274222.07","50600286.52","60722792.87","48705358.73","55161388.62","56060825.97","49005083.64","675565352.2","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582"
